Column1;NrTrackerlosses;LocomotionTechnique;SubjectNr;;;AVG number of losses
0;14;Hip;2;;Hip;8.473684211
1;12;Hip;1;;STF;9.2
2;1;Hip;10;;AVG;8.473684211
3;4;Hip;12;;Head;9.473684211
4;10;Hip;14;;;
5;4;Hip;18;;;
6;15;Hip;16;;;
7;18;Hip;11;;;
8;6;Hip;17;;;
9;8;Hip;13;;;
10;11;Hip;19;;;
11;0;Hip;15;;;
12;15;Hip;22;;;
13;7;Hip;9;;;
14;5;Hip;21;;;
15;8;Hip;20;;;
16;20;Hip;5;;;
17;3;Hip;6;;;
18;0;Hip;8;;;
19;6;StandingFootVelocity;1;;;
20;5;StandingFootVelocity;2;;;
21;8;StandingFootVelocity;12;;;
22;21;StandingFootVelocity;13;;;
23;12;StandingFootVelocity;10;;;
24;8;StandingFootVelocity;14;;;
25;1;StandingFootVelocity;11;;;
26;11;StandingFootVelocity;19;;;
27;13;StandingFootVelocity;20;;;
28;8;StandingFootVelocity;15;;;
29;14;StandingFootVelocity;6;;;
30;13;StandingFootVelocity;16;;;
31;16;StandingFootVelocity;5;;;
32;18;StandingFootVelocity;18;;;
33;7;StandingFootVelocity;22;;;
34;8;StandingFootVelocity;17;;;
35;0;StandingFootVelocity;21;;;
36;3;StandingFootVelocity;9;;;
37;6;StandingFootVelocity;8;;;
38;6;StandingFootVelocity;7;;;
39;11;AverageShoes;1;;;
40;9;AverageShoes;2;;;
41;2;AverageShoes;10;;;
42;3;AverageShoes;14;;;
43;8;AverageShoes;13;;;
44;1;AverageShoes;12;;;
45;9;AverageShoes;15;;;
46;10;AverageShoes;18;;;
47;10;AverageShoes;7;;;
48;2;AverageShoes;21;;;
49;2;AverageShoes;20;;;
50;4;AverageShoes;19;;;
51;19;AverageShoes;17;;;
52;25;AverageShoes;6;;;
53;4;AverageShoes;16;;;
54;23;AverageShoes;5;;;
55;2;AverageShoes;22;;;
56;11;AverageShoes;8;;;
57;6;AverageShoes;9;;;
58;14;Head;1;;;
59;4;Head;2;;;
60;14;Head;12;;;
61;6;Head;11;;;
62;10;Head;14;;;
63;5;Head;13;;;
64;4;Head;17;;;
65;16;Head;10;;;
66;13;Head;15;;;
67;5;Head;21;;;
68;2;Head;18;;;
69;17;Head;6;;;
70;7;Head;20;;;
71;1;Head;8;;;
72;11;Head;7;;;
73;13;Head;5;;;
74;1;Head;9;;;
75;21;Head;19;;;
76;16;Head;22;;;
